TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN
TID_LOCAL_NOTIFICATION_HERO_HAS_FULL_HEALTH,<name> is ready for another fight!,<name> peut à nouveau combattre !,<name> ist bereit für einen weiteren Kampf!,¡<name> está listo para otra batalla!,<name> pronto per un'altra battaglia!,<name> is klaar voor een nieuw gevecht!,<name> er til til en ny kamp!,<name> já pode ir pra luta!,<name> başka bir savaşa hazır!,<name>が再び戦える状態になりました！,<name>已经为下场战斗做好准备了！
TID_INFO_POP_UP_IAP_NOTE_TITLE,In-App Purchases,Achats intégrés,In App Käufe,Compras integradas,Acquisti In-App,In-app aankopen,Kjøp i app,Compras no aplicativo,Uygulama İçi Satın Almalar,アプリ内での購入,应用内购买
TID_INFO_POP_UP_IAP_NOTE,"Clash of Clans is free to play, but you can speed up your progress with in-app purchases. If desired, purchases can be disabled in the general settings of your device.","Clash of Clans est gratuit, mais les achats intégrés vous permettent de progresser plus rapidement. Si vous le souhaitez, les achats peuvent être désactivés dans les paramètres généraux de votre appareil.","Clash of Clans ist kostenlos spielbar, aber man kann seinen Fortschritt durch In-App-Käufe beschleunigen. Falls gewünscht, können die In-App Käufe in den Einstellungen deaktiviert werden.","Clash of Clans es gratuito, pero puedes acelerar tus progresos con compras dentro de la aplicación. Si lo deseas, las compras se pueden desactivar en la configuración general de tu dispositivo.","Clash of Clans è un gioco gratuito, in cui è possibile velocizzare il proprio progresso con acquisti In-App. L'opzione acquisti può venire disattivata nelle impostazioni generali del proprio dispositivo.","Clash of Clans is gratis om te spelen, maar je kunt je voortgang versneller met in-app aankopen. Als je wil kun je aankopen uitschakelen onder de algemene instellingen van je apparaat.","Clash of Clans er gratis å spille, men du kan oppnå raskere fremgang ved å kjøpe ting i appen. Hvis du vil, kan du skru av kjøp via de generelle innstillingene for enheten.","Clash of Clans é grátis para jogar, mas alguns itens podem ser adquiridos com dinheiro de verdade. Você pode desativar as compras do aplicativo nas configurações do seu dispositivo.","Clash of Clans, bedava oynanan bir oyun, ancak uygulama içi satın alımlarla gelişiminizi hızlandırabilirsin. Satın alımları, cihazınızın ayarlar bölümünden devre dışı bırakabilirsin.",クラッシュ・オブ・クランは無料でプレイできますが、アプリ内での購入によりゲームを早く進めることもできます。アプリ内での購入はお使いのデバイスの一般設定から無効に設定することも可能です。,部落战争（Clash of Clans）是一款免费游戏，但您可以使用应用内购买加速游戏进程。也可以在设备设置选项中禁用应用内购买。
TID_INFO_POP_UP_IAP_NOTE_BUTTON,Okay,OK,Okay,Vale,OK,Oké,OK,Ok,Tamam,OK,确定
TID_NEW_CLAN_MEMBER,New,Nouveau,Neu,Nuevo,Nuovo,Nieuw,Ny,Novo,Yeni,NEW,新成员
TID_UNABLE_TO_LOCATE_COUNTRY_FOR_SCORES,Unable to find local leaderboards for your location.,Impossible de trouver le classement local pour votre localisation.,Lokale Ranglisten an deinem Standort wurden nicht gefunden.,No se han encontrado clasificaciones en tu localización.,Non è stato possibile trovare classifiche locali della tua area:,We kunnen geen lokale klassementen voor jouw locatie vinden.,Finner ikke lokale ledertavler for ditt sted.,Não é possível localizar o ranking de jogadores da sua região,Bölgenizde yerel bir liderlik panosu bulunamadı.,お住まいの地域のランキングがみつかりませんでした。,无法找到本地排行榜。
TID_LOCAL_NOTIFICATION_YOUR_ARMY_IS_READY,Your troops are ready for battle!,Vos troupes sont prêtes à combattre !,Deine Truppen sind kampfbereit!,¡Tus tropas están listas para la batalla!,Le tue truppe sono pronte a combattere!,Je troepen staan paraat!,Soldatene dine er klare til kamp!,As suas tropas estão prontas para a batalha!,Askerleriniz savaşa hazır!,軍団の戦闘準備が整いました！,您的军队已经做好了战斗准备！
TID_DARK_ELIXIR_BARRACK,Dark Barracks,Caserne noire,Dunkle Kaserne,Cuartel oscuros,Caserma nera,Duistere kazerne,Mørke brakker,Quartel Negro,İzbe Kışla,闇の兵舎,暗黑训练营
TID_DARK_ELIXIR_BARRACK_INFO,The Dark Barracks will open doors for creatures born out of Dark Elixir. Upgrade the barracks to unlock more troops with unique battle skills.,La caserne noire ouvre la porte à des créatures nées de l'élixir noir. Améliorez la caserne pour débloquer des troupes dotées de compétences uniques.,"Die Dunkle Kaserne öffnet Kreaturen Tür und Tor, die aus Dunklem Elixier geboren wurden. Verbessere die Kaserne, um mehr Truppen mit einzigartigen Kampffertigkeiten freizuschalten.",Los cuarteles oscuros abrirán las puertas a criaturas engendradas con el Elixir Oscuro. Mejóralos para desbloquear más tropas con habilidades en combate excepcionales.,La Caserma nera ospita le creature create con l'Elisir nero. Migliora la Caserma per sbloccare più truppe dalle abilità di battaglia uniche.,De duistere kazernes openen hun deuren voor wezens die uit duister elixir zijn geboren. Verbeter de kazerne om meer troepen met unieke strijdvaardigheden te ontgrendelen.,De mørke brakkene vil åpne dører for skapninger som er født av Mørk eliksir. Oppgrader brakkene for å låse opp flere soldater med unike kampferdigheter.,O Quartel Negro abrirá caminho para criaturas oriundas do Elixir Negro. Atualize o quartel para desbloquear mais tropas com exclusivas habilidades de batalha.,"İzbe Kışla, Kara İksir'den doğan yaratıkları dışarı salacak. Kışlayı yükselterek, benzersiz savaş tekniklerine sahip askerlere sahip ol.",闇の兵舎があればダークエリクサーから生まれたつわものたちを味方につけることができます。闇の兵舎をアップグレードすれば、独特の能力をもつユニットがさらに使用可能になっていきます。,暗黑训练营将向源于暗黑重油的生物敞开大门。升级兵营解锁更多有独特战斗力的军队。
TID_WARRIORGIRL,Valkyrie,Valkyrie,Walküre,Valquiria,Valchiria,Valkyrie,Valkyrie,Valquíria,Valkyrie,バルキリー,瓦基丽武神
TID_BOARRIDER,Hog Rider,Chevaucheur de cochon,Schweinereiter,Montapuercos,Domatore di cinghiali,Varkensruiter,Villsvinrytter,Corredor,Yaban Domuzu Binicisi,ホグライダー,野猪骑士
TID_GARGOYLE,Minion,Serviteur,Lakai,Esbirro,Sgherro,Gunsteling,Lakei,Servo,Dalkavuk,ガーゴイル,亡灵
TID_GOLEM,Golem,Golem,Golem,Gólem,Golem,Golem,Golem,Golem,Golem,ゴーレム,戈仑石人
TID_LABORATORY_UPGRADING,Upgrading:,Amélioration :,Verbesserung:,Mejorando:,Miglioramento:,Verbeteren:,Oppgradering:,Atualizando:,Yükseltiliyor:,アップグレード中：,升级：
TID_LABORATORY_HINT,Select what you want to upgrade,Choisissez ce que vous voulez améliorer,Wähle das zu verbessernde Objekt,Selecciona qué quieres mejorar,Seleziona l'elemento che desideri migliorare,Selecteer wat je wilt verbeteren,Velg hva du vil oppgradere,Selecione o que deseja atualizar,Yükseltmek istediğin şeyi seç,アップグレードしたいユニットを\n選択してください,选择升级对象
TID_LABORATORY_HINT2,Swipe the screen to see the whole list of upgrades,Balayez l'écran pour voir la liste complète des améliorations,"Wische über den Bildschirm, um die gesamte Liste an Verbesserungen zu sehen",Desliza el dedo por la pantalla para ver la lista completa de mejoras,Fai scorrere le dita sullo schermo per visualizzare l'intera lista di miglioramenti,Veeg over het scherm om de lijst met verbeteringen te bekijken,Sveip skjermen for å se hele listen med oppgraderinger,Deslize a tela para ver a lista completa de atualizações,Bütün yükselmelerin listesini görebilmek için ekranı kaydır,←左右にスクロールできます→,滑动屏幕以查看完整列表
TID_POPUP_UPGRADE_NOT_AVAILABLE_TITLE,<character> level <number>,<character> niveau <number>,<character> Level <number>,<character> nivel <number>,<character> livello <number>,<character> level <number>,<character> nivå <number>,<character> nível <number>,<character> seviye <number>,<character> レベル <number>,<character>等级<number>
TID_BUTTON_SELECT_MORE,Select row,Sélec. rangée,Reihe wählen,Selec. hilera,Seleziona riga,Selecteer rij,Velg rad,Selecionar fila,Sıra seç,列ごと選択,选择整行
TID_SINGLE_PLAYER_AVAILABLE_LOOT,Available loot:,Butin disponible :,Verfügbare Beute:,Botín disponible:,Bottino disponibile:,Beschikbare buit:,Tilgjengelig bytte:,Saque disponível:,Mevcut ganimet:,戦利品,可掠夺资源：
TID_CHARACTER_INFO_BARBARIAN,This fearless warrior relies on his bulging muscles and striking mustache to wreak havoc in enemy villages. Release a horde of Barbarians and enjoy the mayhem!,Ce guerrier intrépide compte sur ses muscles saillants et sa fière moustache pour semer le chaos dans les villages ennemis. Faites charger une horde de barbares et profitez du spectacle !,"Dieser furchtlose Krieger vertraut auf seine mächtigen Muskeln und seinen auffallenden Schnurrbart, um in feindlichen Dörfern für Verwüstung zu sorgen. Lass eine Horde Barbaren frei und genieße das Chaos!",Este intrépido guerrero confía en sus potentes músculos y en su llamativo bigote para causar estragos en las aldeas enemigas. ¡Libera una horda de bárbaros y disfruta del caos!,Questo impavido guerriero getta nel caos i villaggi nemici con l'aiuto dei suoi possenti muscoli e dei suoi particolari baffi. Scatena un'orda di Barbari e goditi il pandemonio!,Deze dappere krijger vertrouwt op zijn spierballen en opvallende snor om de boel op zijn kop te zetten in vijandelijke dorpen. Zet een horde barbaren in en geniet van de chaos!,"Denne fryktløse krigeren stoler på at han kan mose fiendtlige landsbyer med de svulmende musklene og den stilige barten sin. Slipp løs en horde av barbarer, og nyt synet av hærverk!",Este destemido herói conta com seus músculos e notável bigode para causar estragos nas vilas inimigas. Libere uma horda de Bárbaros e aproveite o caos!,"Bu korkusuz savaşçı, düşman köyünü yerle bir etmek için, kas gücü ve çarpıcı bıyıklarına güveniyor. Bir Barbar sürüsünü üzerlerine sal ve felaketin tadını çıkar!",敵の村をメチャクチャにしてまわる恐れ知らずでムキムキマッチョな戦士です。\nバーバリアンの大軍を送り込んで、相手の村を破壊しつくしましょう！,这类无畏的勇士长着引人注目的胡子，他们依靠着壮硕的肌肉在敌人的村庄肆虐。训练一队野蛮人，他们将为您出生入死！
TID_CHARACTER_INFO_ARCHER,These sharpshooters like to keep their distance on the battlefield and in life. Nothing makes them happier than single-mindedly taking down their target.,"Ces tireurs d'élite préfèrent garder leurs distances, aussi bien sur le champ de bataille que dans la vie. Ils n'aiment rien tant que de voir tomber la cible sur laquelle ils ont jeté leur dévolu.",Diese Scharfschützen bewahren auf dem Schlachtfeld und im Leben gerne ihre Distanz. Nichts bereitet ihnen mehr Freude als ihr Ziel gnadenlos zu erledigen.,A estos tiradores de primera les gusta mantener las distancias en el campo de batalla y en la vida. Nada les hace más felices que derribar a su blanco sistemáticamente.,"Questi tiratori scelti preferiscono mantenere le distanze, sia sul campo di battaglia che nella vita. Niente li rende più felici che dedicarsi con risolutezza all'abbattimento del proprio bersaglio.",Deze scherpschutters blijven het liefst een beetje op afstand. Niets maakt ze gelukkiger dan het uitschakelen van hun doelwit.,Disse skarpskytterne liker å holde avstand på slagmarken og i livet ellers. Ingenting gjør dem lykkeligere enn å få inn en fulltreffer helt på egenhånd.,Estas atiradoras de elite mantêm distância no campo de batalha e na vida. Nada as deixa mais satisfeitas do que obstinadamente derrubar seus alvos.,"Bu keskin nişancılar, hem savaş alanında, hem de kendi hayatlarında olayları uzaktan takip etmekten hoşlanır. Onları, hedeflerini bir hamlede indirmekten başka hiçbir şey daha fazla mutlu edemez.",戦場でも友人関係でも距離をとりたがる弓兵です。\n目標が倒れるか壊れるまで攻撃をやめない、そんな性格の持ち主です。,这些神箭手在战场上总是能够百步穿杨，一箭封喉。她们觉得没有什么比一箭打爆对手更爽的了。
TID_CHARACTER_INFO_GOBLIN,"These pesky little creatures only have eyes for one thing: LOOT! They are faster than a Spring Trap, and their hunger for resources is limitless.",Ces petites créatures agaçantes ne pensent qu'à une seule chose : le BUTIN ! Ils sont plus rapides qu'un piège à ressort et leur appétit pour les ressources est sans limite.,Diese lästigen kleinen Kreaturen haben nur Augen für eine Sache: BEUTE! Sie sind schneller als ein Tellereisen und ihr Hunger auf Ressourcen ist unendlich.,"Estas molestas criaturillas solo tienen ojos para una cosa: ¡el BOTÍN! Son más veloces que una trampa de salto, y su sed de recursos es infinita.",Queste creaturine fastidiose sono interessate a una cosa sola: il BOTTINO! Sono più veloci di una Trappola a scatto e la loro fame di risorse è illimitata.,Deze rottige kleine wezentjes hebben slechts oog voor een ding: BUIT! Ze zijn sneller dan een veerval en hebben een eindeloze zucht naar grondstoffen.,"Disse små plagsomme skapningene har bare øye for én ting: BYTTE! De er kjappere enn en dyrefelle, og de har en umettelig sult etter ressurser.","Estas criaturinhas cheias de traquinagens só pensam em uma coisa: SAQUE! Elas são mas rápidas que a Armadilha de Mola, e sua sede de recursos é insaciável.","Bu sinir bozucu, küçük yaratıkların tek bir şeyde gözü var: GANİMET! Bir Yaylı Tuzak'tan daha hızlılar ve ganimet için her şeyi yapabilirler.",このうっとおしい奴らはお宝のことしか考えてません！\nばねトラップが効かないほど足が速く、資源がある限りそれを追い求め続けます。,这些麻烦的小家伙眼里只有一件事：打劫！它们的反应比隐形弹簧更快，能够无休止地抢夺资源。
TID_CHARACTER_INFO_GIANT,"These big guys may seem calm, but show them a turret or cannon and you´ll see their fury unleashed! Slow yet durable, these warriors are best used to soak up hits.","Ces grands gaillards ont l'air calmes de prime abord, mais ils se déchaîneront à la simple vue d'une tourelle ou d'un canon ! Lents mais résistants, ces guerriers sont faits pour encaisser les coups.","Diese großen Typen scheinen ruhig zu sein, aber wenn sie einen Verteidigungsturm oder eine Kanone sehen, dann drehen sie durch! Sie sind langsame, aber strapazierbare Krieger, die gut Treffer nehmen können.","Estosgrandullones pueden parecer tranquilos, pero enséñales una torreta o un cañón y se desatará su furia. Lentos, pero resistentes, la principal habilidad de estos guerreros consiste en encajar golpes.","Questi ragazzoni sembrano tranquilli, ma da' loro una torretta o un cannone e vedrai scatenarsi la loro furia! Lenti ma resistenti, questi guerrieri sono utili per assorbire i colpi.","Deze grote jongens mogen er dan kalm uitzien, maar confronteer ze met een toren of kanon en ze ontsteken in woede! Als trage maar duurzame krijgers kun je ze het beste inzetten om treffers te incasseren.","Disse digre karene kan virke rolige på utsiden, men viser du dem et gevær eller en kanon, vil du få se at raseriet deres kommer frem! De er langsomme, men utholdende, og egner seg best til å fange opp treff.","Estes grandalhões podem parecer calmos, mas coloque-os na frente de uma torre ou canhão e sua fúria é desencadeada. Lentos mais duráveis, estes guerreiros são melhor usados para absorver dano.","Bu koca adamlar sakin görünüyor olabilirler; kendilerine bir taret ya da top gösterin de, nasıl delirdiklerini görün! Yavaş, fakat dayanıklı olan bu savaşçılar, darbeleri savuşturmada bir numaradırlar.",気はやさしくて力持ちに見えるかもしれませんが、\n敵の塔や大砲をみつけた時こそ彼らの真の恐ろしさを目にすることでしょう！\n動きは遅いものの体は頑丈なので、オトリとして敵の攻撃を引きつけるのに向いています。,这些大块头看上去沉默寡言，但倘若他们发现箭塔或火炮，您将领教他们狂躁的一面！巨人行动缓慢，但是抗打击能力强。
TID_CHARACTER_INFO_WALLBREAKER,"Nothing warms a Wall Breaker's cold and undead heart like blowing up walls. A squad of them will make way for your ground units, and they will do it with a BANG!","Rien ne réchauffe mieux le cœur froid et mort d'un sapeur que la destruction d'un mur. Une escouade de sapeurs permettra d'ouvrir la voie à vos troupes au sol, dans un grand BOUM !",Nichts erwärmt das kalte und tote Herz eines Mauerbrechers so wie das Sprengen von Mauern. Eine Truppe davon bereitet deinen Bodeneinheiten den Weg - und zwar mit einem KNALL!,"Nada le da más calidez al frío y muerto corazón de un rompemuros que volar murallas por los aires. Un escuadrón entero abrirá paso a tus unidades de infantería, ¡y lo hará a lo grande!",Niente riscalda il cuore freddo da morto vivente di uno Spaccamuro come il far esplodere i muri. Un plotone di questi provocherà un bel BANG! che aprirà la strada alle tue unità di terra.,"Niets verwarmt het kille en ondode hart van een muurbreker meer dan het opblazen van muren. Een heel peloton van deze zullen de weg voor je grondeenheden vrijmaken, en dat doen ze met een flinke BOEM!","Ingenting varmer en murbrekkers kalde og vandøde hjerte mer enn å sprenge murer. En tropp av disse vil rydde vei for bakkestyrkene dine, og de gjør det med et PANG!","Nada aquece o coração frio e sem vida de um Destruidor de Muros como explodir paredes. Um esquadrão de destruidores irá abrir caminho para suas unidades terrestres, e farão isto com uma EXPLOSÃO!","Duvar Yıkıcı'nın taş kalbini, en iyi duvarları yıkmak yumuşatabilir. Bunların birkaçı, koca bir BOM ile yer birlikleri için geçiş yolu açacaktır.",ウォールブレイカーの冷たく死に絶えた心が温まる唯一の喜びは、壁を爆破した瞬間です。\n先陣を切って何体か送り込めば、地上ユニットが通れる道をドカンと切り開いてくれます！,只有轰塌一面面城墙才能让炸弹人那颗冰冷的心得到些许温暖。他们崇尚玉石俱焚，用\q磅\q的一声为您开道！
TID_CHARACTER_INFO_BALLOON,These promoted skeletons have traded in their joy of destroying walls for a joy of destroying defenses. Deploy them to take out pesky mortars and cannons!,"Ayant reçu une promotion, ces squelettes ont abandonné la destruction de murs pour le plaisir nouveau de détruire des défenses. Déployez-les pour vous débarrasser des mortiers et canons !",Diese beförderten Skelette haben ihren Spaß am Vernichten von Mauern gegen den Spaß am Vernichten von Verteidigungen getauscht. Mit ihnen kannst du lästige Minenwerfer und Kanonen ausschalten!,Estos esqueletos venidos a más han cambiado su alegría al destruir murallas por bienestar al destruir defensas. ¡Despliégalos para eliminar irritantes morteros y cañones!,Questi scheletri promossi hanno scambiato il piacere di distruggere muri col piacere nel distruggere le difese. Schierali per annientare fastidiosi mortai e cannoni!,Deze gepromoveerde skeletten hebben hun plezier in het vernietigen van muren ingeruild voor het vernietigen van verdedigingen. Zet ze in om die rottige mortieren en kanonnen uit te schakelen!,Disse høythengende skjelettene foretrekker å ødelegge forsvarsverker fremfor å knuse vegger. Utplasser dem for å utradere plagsomme mortere og kanoner!,Estes esqueletos de patente mais alta trocaram a diversão de destruir muros pela alegria de destruir defesas. Mobilize-os para eliminar morteiros e canhões!,"Bu terfi almış iskeletler, duvarları yıkma keyfiyle, savunmayı yıkma keyfini takas etmiş. Sinir bozucu havan ve topları engellemek için, iskeletleri görevlendir.",エラくなったこのガイコツたちは、壁を壊す喜びだけでなく防衛設備を壊す喜びも\nおぼえてしまいました。やっかいな敵の迫撃砲や大砲を壊してもらいましょう！,这些乘着气球的高级骷髅兵对于摧毁敌人的防御乐此不彼。精心部署气球兵，他们将为您扫除各种障碍！
TID_CHARACTER_INFO_WIZARD,"The Wizard is a terrifying presence on the battlefield. Pair him up with some of his fellows and cast concentrated blasts of destruction on anything, land or sky!","La présence du sorcier sur le champ de bataille est des plus intimidantes. Faites-les combattre en petits groupes pour lancer des sorts destructeurs sur les unités ennemies, au sol ou dans les airs.",Der Zauberer ist eine furchterregende Erscheinung auf dem Schlachtfeld. Zusammen mit einigen seiner Kameraden kannst du gebündelte Vernichtungszauber zu Lande und in der Luft abfeuern!,"El mago es una presencia terrorífica en el campo de batalla. ¡Júntalo con algunos de sus compañeros y lanza explosiones de destrucción concentradas sobre cualquier cosa, tierra o cielo!","Lo Stregone è una presenza inquietante sul campo di battaglia. Accoppialo con qualche suo collega e lancia attacchi distruttivi concentrati su qualsiasi cosa, a terra o in aria!",De tovenaar is een angstaanjagende aanwezigheid op het strijdveld. Combineer hem met een van zijn partners en vuur geconcentreerde vernietigende bundels op land- of luchtdoelwitten af!,"Sjamanen er en skremmende skapning på slagmarken. Sett ham sammen med noen likesinnede, og kast konsentrerte, knusende sprengladninger mot alt du vil, på bakken eller på himmelen!","O Mago é uma presença amedrontadora no campo de batalha. Junte alguns deles e lance golpes concentrados de destruição em qualquer coisa, seja na terra ou no ar!","Sihirbaz'ın, savaş sahasında korku uyandırıcı bir etkisi var. Yerde veya gökte, nerede yıkıma yol açmak istiyorsanız, onu birkaç arkadaşıyla bir araya getirin ve hedefleri havaya uçurun.",ウィザードは戦場で恐るべき存在となります。何人かで連携させて、\n地上であれ空中であれ、敵や建物を魔法で始末してまわりましょう！,法师的出现为战场蒙上了一层恐怖色彩。集结一群法师，他们将摧毁各种陆空目标！
TID_CHARACTER_INFO_HEALER,"This majestic creature lives to protect and aid her fellow troops. Any army is improved with her healing support, but make sure to protect her from air defenses!","Cette créature majestueuse ne vit que pour protéger et aider son prochain. L'armée toute entière profitera de ses dons de guérison, mais vous devrez vous assurer de bien la mettre à l'abri des défenses aériennes !","Diese majestätische Kreatur lebt zum Schutz und zur Hilfe ihrer eigenen Truppen. Durch ihre heilende Unterstützung wird jede Armee verbessert, doch sie sollte vor Luftverteidigungen geschützt werden!","Esta majestuosa criatura vive para proteger y ayudar a sus tropas aliadas. Cualquier ejército mejora con su refuerzo curativo, ¡pero asegúrate de protegerla de las defensas aéreas!","Questa maestosa creatura vive per proteggere e aiutare le truppe a lei amiche. Qualsiasi esercito può trarre beneficio dal suo aiuto curativo, ma dovrà assicurarsi di proteggerla dalle difese aeree!","Dit majestueuze wezen leeft om te beschermen en haar medetroepen te helpen. Elk leger wordt verbeterd met haar helende ondersteuning, maar zorg wel dat je haar verdedigt tegen luchtaanvallen!","Denne majestetiske skapningen lever for å beskytte og hjelpe medsoldatene sine. Enhver hær blir styrket av den helbredende støtten hennes, men sørg for å beskytte henne mot luftangrep!","Este majestosa criatura vive para proteger e ajudar seus companheiros. Qualquer exército ganha vantagem com seu poder de cura, mas não esqueça de protegê-la das defesas aéreas!","Bu muhteşem yaratık, askerlerini korumak ve onlara yardım etmek için yaşıyor. Herhangi bir ordu, onun tedavileriyle güçlenebilir; fakat onu mutlaka hava savunmasına karşı korumalısınız!",神々しいヒーラーは味方のユニットを守り、助けることを生きがいにしています。\nどんな軍隊でもヒーラーがいれば心強いですが、対空砲からはしっかり守りましょう！,伟大的天使生来就是为了守护您的士兵。她能帮助各种地面部队恢复元气，但小心保护天使免受防空火箭的袭击！
TID_CHARACTER_INFO_DRAGON,The might of the dragons is known throughout the land. This scaly terror of the skies feels no mercy and nothing will escape the fiery splashes of his breath.,Les dragons sont connus à travers tout le territoire pour leur puissance sans égale. Cette terreur des cieux ne montre aucune pitié ; rien n'échappera à son souffle mortel.,Die Macht der Drachen ist im ganzen Lande bekannt. Diese schuppigen Schrecken des Himmels kennen keine Gnade und niemand kann ihren feurigen Atemstößen entkommen.,"Todo el mundo conoce el poder de los dragones. Este terror escamado de los cielos no tiene piedad, y nada escapa a su ardiente aliento.","Il potere dei draghi è noto in tutto il paese. Questo squamoso terrore dei cieli non prova pietà, nulla potrà sfuggire ai fiammeggianti spruzzi del suo fiato.",De macht van de draken staat in heel het land bekend. Deze geschubde luchtterreur kent geen genade en niets zal aan zijn vuurspuwende adem ontsnappen.,"Dragenes enorme styrke er velkjent over hele landet. Denne skjelldekte, flygende skapningen kjenner ingen nåde, og ingenting vil unnslippe den ildsprutende pusten dens.",A força dos dragões é conhecida em toda a terra. Este terror escamoso dos céus não tem misericórdia e nada consegue escapar das chamas de seu sopro.,"Ejderhaların hikmeti herkes tarafından bilinir. Göklerin pullu terörü, acımak nedir bilmez ve onun ateş püskürten nefesinden hiçbir şey kurtulamaz.",竜族の強大さは国じゅうで伝説になっています。\nウロコにおおわれたこの恐ろしげな空飛ぶハ虫類が\n口から吐きつける業火は、あらゆるものを焼き尽くします。,飞龙喷出的烈焰让人胆寒，这种恐怖的空中生物面对敌军毫不留情，任何人都难以逃出它的魔掌。
TID_CHARACTER_INFO_PEKKA,"Is P.E.K.K.A a knight? A samurai? A robot? No one knows! P.E.K.K.A´s armor absorbs even the mightiest of blows, but it doesn´t handle electricity too well.","P.E.K.K.A est-il un chevalier, un samouraï, un robot ? Nul ne le sait ! Son armure peut absorber les coups les plus puissants, mais ne réagit pas très bien à l'électricité.","Ist P.E.K.K.A ein Ritter? Ein Samurai? Ein Roboter? Niemand weiß es! P.E.K.K.As Rüstung absorbiert selbst die mächtigsten Treffer, aber gegen Elektrizität schützt sie nicht so gut.","¿Es P.E.K.K.A un caballero? ¿Un samurái? ¿Un robot? ¡Nadie lo sabe! La armadura de P.E.K.K.A absorbe hasta el más potente de los golpes, pero no lleva tan bien los ataques eléctricos.","P.E.K.K.A è un cavaliere? Un samurai? Un robot? Nessuno lo sa! L'armatura di P.E.K.K.A assorbe anche i colpi più potenti, ma non resiste bene alla corrente elettrica.","Is P.E.K.K.A een ridder? Een samoerai? Een robot? Niemand die het weet! P.E.K.K.A's pantser kan de sterkste aanvallen absorberen, maar is gevoelig voor elektriciteit.","Er P.E.K.K.A en ridder? En samurai? En robot? Det er det ingen som vet! P.E.K.K.A.s rustning står imot selv de kraftigste eksplosjonene, men den takler ikke så godt elektrisitet.","P.E.K.K.A é um cavaleiro? Um samurai? Um robô? Ninguém sabe! A armadura da P.E.K.K.A absorve o mais forte dos golpes, mas não reage muito bem à eletricidade.","P.E.K.K.A bir şovalye mi? Samuray mı? Robot mu? Kimse bilmiyor! P.E.K.K.A'nın zırhı, en büyük darbeleri bile savabiliyor, ancak elektrikle pek de iyi başa çıkamıyor.",P.E.K.K.A.は騎士なのか？　サムライなのか？　ロボットなのか？\nその正体は謎につつまれています。P.E.K.K.A.の着込んでいるヨロイは\nどんな強力な一撃でもやわらげてしまいますが、電気には弱いようです。,皮卡超人是骑士？是武士？还是机器人？只有天知道！皮卡超人的重型盔甲可以抵御强大的伤害，但是对雷电防御能力较低。
TID_CHARACTER_INFO_MINION,"This terror of the skies was born out of Dark Elixir. Undetectable by the Seeking Air Mine, Minions materialize with ease, but are fragile in our world.","Engendrée par l'élixir noir, cette terreur des cieux indétectable aux têtes chercheuses se matérialise avec aisance, mais reste fragile dans notre monde.","Dieser Schrecken des Himmels wurde aus Dunklem Elixier geborgen. Lakaien können von Suchenden Luftminen nicht aufgespürt werden. Sie materialisieren sich mit Leichtigkeit, sind in unserer Welt aber fragil.","Este terror de los cielos nació del Elixir Oscuro. Indetectables por la mina de rastreo aérea, los esbirros se materializan con facilidad, pero son frágiles en nuestro mundo.","Questo terrore dei cieli è stato generato dall'Elisir nero. Impercettibili per lo Stanatore di mine aeree, gli Sgherri si materializzano facilmente, ma risultano molto fragili nel nostro mondo.","Dit vliegende terreur komt voort uit duister elixir. Ze zijn onzichtbaar voor de luchtmijnzoeker, maar gunstelingen vallen met gemak uit elkaar en zijn kwetsbaar in onze wereld.","Denne flygende skrekkskapningen ble født av Mørk eliksir. Lakeier kan ikke oppdages av den målsøkende luftminen, men de er sårbare i vår verden.","Esta praga alada surgiu do Elixir Negro. Indetectáveis pela Mina Aérea Guiada, os Servos se materializam com facilidade, mas são frágeis em nosso mundo.","Göklerin bu kabusu, Kara İksir'den yapıldı. Güdümlü Hava Mayını tarafından tespit edilemeyip, Dalkavuklar tarafından kolayca fark edilebiliyor, ancak bizim dünyamızda hassaslar.",ダークエリクサーから生まれたこの空飛ぶ恐怖はホーミング対空地雷には引っかからず、\n好き勝手現れますが、この世界での体はもろいようです。,这些飞行的小家伙诞生于暗黑重油。他们不会被搜空地雷检测到，但是在我们的世界里他们很脆弱。
